clause,risk,source,policy_type,coverage_amount,applicant_age,prior_claims_count,deductible_amount,state
you are responsible for updating and maintaining the accuracy of the information you provide to us relating to your account .,Low,unfair_tos,auto,60887,58,1,1000,FL
"the site will take reasonably security precautions when using the internet , telephone or other means to transport date or other communications , but expressly disclaims any and all liability for the accessing of any such data communications by unauthorized persons or entities .",Low,unfair_tos,life,679223,52,0,1000,TX
"by `` information '' we mean facts and other information about you , including actions taken by users and non-users who interact with facebook .",Low,unfair_tos,home,175463,21,0,1000,CA
"the company has discretion , however , to terminate the account of any user after receipt of a single notification of claimed infringement or upon the company 's own determination .",Medium,unfair_tos,home,425685,51,0,5000,FL
"this agreement , with the privacy policy , the safety tips and any terms disclosed and agreed to by you if you purchase additional features , products or services we offer on the service , contains the entire agreement between you and tinder regarding the use of the service .",Low,unfair_tos,auto,43357,75,0,500,IL
Payment for losses may be issued after verification of the insured event and policy compliance. based on available documentation.,Low,original_synthetic,auto,81059,59,1,500,GA
The insurer may determine eligibility for reimbursement after reviewing the circumstances.,High,original_synthetic,home,579431,36,1,500,NY
you agree that you are not permitted to resell any products purchased through headspace for commercial purposes .,Low,unfair_tos,commercial,3877938,29,0,2500,PA
Claims may be settled according to the insurer's evaluation of the case. depending on circumstances.,High,original_synthetic,commercial,3687758,30,1,2500,FL
you have no right to sublicense the license rights granted in this section .,Low,unfair_tos,commercial,1062148,31,0,5000,TX
Payment for losses may be issued after verification of the insured event and policy compliance.,Low,original_synthetic,auto,84516,25,0,2500,PA
"no one under the age of 13 may provide any personal information to or on 9gag , inc ( including , for example , a name , address , telephone number or email address ) .",Low,unfair_tos,auto,74616,25,0,1000,NY
"if you do not have a printer , you can copy the text and the underlying agreement ( s ) and paste them into a new document in a word processor or a text editor on your computer and save the text .",Low,unfair_tos,auto,77448,46,2,1000,CA
Covered damages will typically be reimbursed in accordance with the policy schedule. after internal evaluation.,Low,original_synthetic,home,429371,39,2,500,CA
the advice and other materials we make available are intended to support the relationship between you and your healthcare providers and not replace it .,Low,unfair_tos,auto,38283,26,1,500,GA
"we grant you a personal , limited , revocable , non-exclusive , non-sublicensable , and non-transferable license to access and use our services , including to use masks provided via the services , subject to and in accordance with our terms and policies .",Low,unfair_tos,home,279876,25,0,5000,FL
"if we discover a pricing or other material error related to a service that has yet to be dispatched or delivered , we will contact you to inform you of this error and give you the option of continuing to purchase at the correct price or cancelling your order .",Low,unfair_tos,auto,99765,58,2,5000,TX
The insurer may determine eligibility for reimbursement after reviewing the circumstances. subject to review.,High,original_synthetic,commercial,5000000,21,0,5000,FL
"all provisions of this agreement which by their nature should survive termination shall survive termination , including , without limitation , ownership provisions , warranty disclaimers , and limitations of liability .",Low,unfair_tos,home,506512,73,0,500,FL
this is to avoid any misunderstandings if your ideas are similar to those we have developed or are developing independently .,Low,unfair_tos,commercial,4941585,55,0,500,NY
"if any provision of these terms is held to be illegal , invalid or unenforceable , in whole or in part , under any law , such provision or part thereof shall to that extent be deemed not to form part of these terms but the legality , validity and enforceability of the other provisions in these terms shall not be affected .",Low,unfair_tos,home,569731,68,0,5000,NY
the risk of using the service and external sites rests entirely with you as does the risk of injury from the service and external sites .,Low,unfair_tos,auto,67621,30,2,1000,GA
"( e ) a statement by you that you have a good faith belief that the disputed use is not authorized by the copyright or intellectual property owner , its agent , or the law ; and",Low,unfair_tos,auto,49517,52,1,500,PA
Claims will be reviewed and paid when they comply with the conditions specified in this policy.,Low,original_synthetic,auto,68127,68,2,500,FL
The insurer may determine eligibility for reimbursement after reviewing the circumstances. after internal evaluation.,High,original_synthetic,home,750000,53,0,1000,TX
"in addition , we are not responsible for the accuracy , availability , or reliability of any information , content , goods , data , opinions , advice , or statements made available by any third-party applications .",Low,unfair_tos,home,171750,48,0,5000,IL
"you warrant that you are ( 1 ) not located in cuba , iran , north korea , sudan , or syria ; and ( 2 ) are not a denied party as specified in the regulations listed above .",Low,unfair_tos,home,307091,65,0,2500,CA
Payment for losses may be issued after verification of the insured event and policy compliance. subject to review.,Low,original_synthetic,home,132718,40,0,2500,CA
"send or post any unsolicited or unauthorized advertising , `` junk mail , '' `` spam , '' `` chain letters , '' `` pyramid schemes , '' or any form of solicitation unauthorized by linkedin ;",Low,unfair_tos,home,117554,50,0,5000,CA
Payment for losses may be issued after verification of the insured event and policy compliance. subject to policy limitations.,Low,original_synthetic,life,991866,26,0,1000,FL
"in all cases , google , and its suppliers and distributors , will not be liable for any loss or damage that is not reasonably foreseeable .",Medium,unfair_tos,auto,86669,47,1,2500,TX
please consult your legal counsel for further details or see 17 u.s.c. § 512 ( c ) ( 3 ) .,Low,unfair_tos,home,326126,27,0,1000,FL
"if you have a dispute and our customer service representatives ca n't resolve it , send a notice of dispute by u.s. mail to microsoft corporation , attn : cela arbitration , one microsoft way , redmond , wa 98052-6399 , u.s.a. ( or to your mobile phone carrier at its principal place of business in the united states marked attn : legal department ) .",Low,unfair_tos,auto,72255,75,1,500,GA
"our services are not intended for children under 13 : if you are under 13 , please wait until you turn 13 to use them .",Low,unfair_tos,auto,67117,20,2,5000,NY
Claims may be approved or declined based on the insurer's interpretation of the situation.,High,original_synthetic,commercial,2975721,58,2,500,IL
6.2 any applicable service fees ( including any applicable taxes ) will be displayed to a host or guest prior to publishing or booking a listing .,Low,unfair_tos,commercial,1920585,51,0,2500,GA
"in addition , both host and co-host are jointly responsible and severally liable for third party claims , including guest claims , arising from the acts and omissions of the other person as related to hosting activities , communications with guests , and the provision of any co-host services .",Low,unfair_tos,home,618293,66,0,2500,PA
this refund policy does not affect any statutory rights that may apply .,Low,unfair_tos,auto,59827,75,0,5000,CA
"Claims may be reviewed and paid when they comply with the conditions specified in this policy, contingent on documentation review.",Medium,hedged_synthetic,auto,150000,46,1,500,TX
"the company does not pre-screen any user content , but reserves the right to remove , disallow , block or delete any user content in its sole discretion .",Medium,unfair_tos,home,750000,53,0,1000,GA
"The insurer may compensate losses described in the policy when documentation confirms eligibility. if conditions are satisfied, provided that internal evaluation supports the claim.",Medium,hedged_synthetic,commercial,1389514,42,0,1000,GA
"some jurisdictions do not allow the foregoing limitations of liability , so to the extent that any such limitation is found to be impermissible , such limitation may not apply to you .",Low,unfair_tos,commercial,2567331,45,0,500,IL
"you acknowledge and assume the risk of the possibility of termination of your account as provided in this agreement , and you represent that you will make your decisions to participate in the service , contribute content , spend your money and dispose of transferable licenses at all times knowingly based upon these risks .",Low,unfair_tos,home,143461,40,0,1000,IL
Claims will be reviewed and paid when they comply with the conditions specified in this policy. subject to policy limitations.,Low,original_synthetic,commercial,1707987,40,0,5000,NY
Coverage may apply in certain situations subject to evaluation by the insurer. depending on circumstances.,High,original_synthetic,home,750000,34,0,5000,CA
Compensation may be granted for eligible claims once documentation is verified under the policy terms. depending on circumstances.,Low,original_synthetic,home,193701,45,0,2500,OH
Benefits may be payable for covered incidents provided the claim meets all policy requirements. if conditions are satisfied.,Low,original_synthetic,home,236054,66,0,500,PA
the notice must ( 1 ) describe the nature and basis of the claim or dispute ; and ( 2 ) set forth the specific relief sought ( `` demand '' ) .,Low,unfair_tos,home,164051,55,0,500,IL
"you agree that any claim or dispute you may have against supercell must be resolved exclusively by a court located in san francisco , california .",Medium,unfair_tos,home,360169,18,0,5000,OH
The insurer may compensate the insured depending on internal review and surrounding circumstances. after internal evaluation.,High,original_synthetic,auto,150000,28,2,5000,NY
The insurer will normally reimburse medical expenses that fall within the coverage limits. if conditions are satisfied.,Low,original_synthetic,home,274388,59,1,1000,NY
microsoft does not license any intellectual property to you as part of any third-party apps and services and is not responsible for information provided by third parties .,Low,unfair_tos,home,290895,32,0,5000,IL
"you acknowledge that when you receive a user content license you receive only licensing and use rights ; therefore , you do not acquire ownership of any copies of the content , or transfer of any copyright or other intellectual property rights in the content .",Low,unfair_tos,commercial,848670,48,1,5000,FL
The insurer shall generally compensate valid claims unless exclusions apply under the contract.,Low,original_synthetic,home,367218,38,0,5000,IL
we reserve the right to refuse access to the service to anyone for any reason at any time .,Low,unfair_tos,auto,26149,63,1,1000,TX
"subject to these terms of use , vivino grants each user of the site and/or service a worldwide , non-exclusive , non-sublicensable and non-transferable license to use , modify and reproduce the content , solely for personal , non-commercial use .",Low,unfair_tos,auto,42280,58,0,500,CA
The insurer shall generally compensate valid claims unless exclusions apply under the contract. subject to review.,Low,original_synthetic,home,331890,56,0,500,NY
you expressly agree that your use of the amazon services is at your sole risk .,Low,unfair_tos,home,283172,74,0,500,IL
The insurer shall compensate the insured subject to verification of eligibility criteria.,Low,original_synthetic,home,350069,31,0,500,GA
your user submissions will be sent and published to anyone whose device 's contact list contains your phone number and your name .,Low,unfair_tos,auto,42753,18,1,2500,GA
i hereby agree that my use of the world of warcraft service is an acknowledgment of my agreement to be bound by the terms and conditions of this agreement .,Medium,unfair_tos,auto,108350,40,1,1000,IL
"The insurer may normally reimburse medical expenses that fall within the coverage limits. after internal evaluation, provided that internal evaluation supports the claim.",Medium,hedged_synthetic,commercial,2993373,26,1,500,PA
Claims will be reviewed and paid when they comply with the conditions specified in this policy. after internal evaluation.,Low,original_synthetic,auto,77615,28,0,2500,NY
"we may also require you to agree to additional terms , rules , policies , guidelines , or other conditions ( collectively , `` product-specific terms '' ) that are specific to certain services ( for example , the commercial tools ) .",Low,unfair_tos,home,138349,74,1,1000,GA
"the online reservation service is rendered by booking.com b.v. , which is a private limited liability company , incorporated under the laws of the netherlands and having its offices at herengracht 597 , 1017 ce amsterdam , the netherlands and registered with the trade register of the chamber of commerce in amsterdam under registration number 31047344 .",Low,unfair_tos,home,253844,67,0,5000,FL
"unfortunately things do not always go to plan and factors , such as traffic conditions and weather , may occasionally prevent us from achieving our targets in this regard .",Low,unfair_tos,auto,123893,50,1,500,NY
"if you do not agree to the modified terms for a service , you should discontinue your use of that service .",Low,unfair_tos,home,257835,68,0,5000,OH
"any unauthorized use of the services or other failure by you to comply with the terms of this agreement will be deemed a material breach of this agreement and will entitle onavo , without derogating from any other remedies available to it , to immediately suspend or terminate this agreement with no liability to you .",Medium,unfair_tos,auto,55055,40,0,2500,FL
Covered damages will typically be reimbursed in accordance with the policy schedule. after internal evaluation.,Low,original_synthetic,home,197573,39,1,500,NY
our goal is to resolve claims fairly and quickly .,Low,unfair_tos,commercial,2152391,26,1,1000,TX
"in order to maximise your enjoyment , safety and overall experience through our services , the runtime may only be used with oculus-approved hardware devices and with software developed using the oculus rift software development kit , as specified in the oculus rift software development kit licence agreement .",Low,unfair_tos,home,367588,33,0,1000,PA
skype 's subscriptions are for individual use only ( personal or business communications ) in accordance with our terms of use and this fup ( `` legitimate use '' ) .,Low,unfair_tos,home,338553,61,0,1000,CA
"you acknowledge and agree that airbnb shall have the right to use any verified images in advertising , marketing and/or any other business purposes in any media or platform , whether in relation to your listing or otherwise , without further notice or compensation to you .",Low,unfair_tos,auto,25280,68,0,5000,NY
please note : section 19 of these terms of service contains an arbitration clause and class action waiver that applies to all airbnb members .,Low,unfair_tos,commercial,2310878,55,1,1000,IL
The insurer shall compensate the insured subject to verification of eligibility criteria. if conditions are satisfied.,Low,original_synthetic,home,534668,28,0,500,TX
Benefits may be granted depending on circumstances and company judgment. subject to review.,High,original_synthetic,commercial,2578733,39,1,2500,GA
tripadvisor nevertheless reserves the right for any reason in its sole discretion to remove without notice any user messages and/or site content .,Medium,unfair_tos,auto,143396,52,1,500,PA
"if you do not wish to pay the new prices , you can cancel the applicable premium service prior to the change going into effect .",Low,unfair_tos,home,438339,56,0,1000,PA
Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations.,Low,original_synthetic,home,526123,30,1,2500,CA
"please read these terms of service carefully as they contain important information about your legal rights , remedies and obligations .",Low,unfair_tos,home,152365,20,1,2500,PA
Payment may be provided based on discretionary review of the claim details.,High,original_synthetic,auto,150000,26,3,2500,OH
Benefits may be granted depending on circumstances and company judgment. depending on circumstances.,High,original_synthetic,auto,116936,70,2,5000,TX
"the company , its affiliates , and their respective officers , directors , employees , agents , suppliers and licensors ( collectively , the `` company parties '' ) make no warranties or representations about the service and any content ( including gifts ) available on the service , including but not limited , to the accuracy , reliability , completeness appropriateness , timeliness or reliability thereof .",Low,unfair_tos,home,230549,39,0,5000,CA
"you agree not to hold linden lab liable for the content , actions , or inactions of other users .",Medium,unfair_tos,auto,73298,75,1,1000,NY
"if you and the company do not reach an agreement to resolve the claim within 30 days after the notice is received , you or the company may commence an arbitration proceeding as set forth below or file a claim in small claims court .",Low,unfair_tos,auto,85892,37,3,2500,NY
your continued use of qik premium after publication on the skype website shall constitute your acceptance to be bound by the terms and conditions of the revised fair usage policy .,Medium,unfair_tos,commercial,2490700,73,0,500,GA
"as truecaller provides global services , additional terms of services may apply to users in certain jurisdictions and will in such cases be made available in appendices and incorporated hereto .",Low,unfair_tos,life,1384277,63,0,5000,OH
"please review these policies which are designed to protect against fraud and abuse and may place limits on the type , duration or volume of calls or messages that you are able to make .",Low,unfair_tos,commercial,636045,49,0,500,IL
The insurer may compensate the insured depending on internal review and surrounding circumstances.,High,original_synthetic,commercial,1875296,30,3,1000,GA
"you may only use the services to : ( a ) access content on crowdtangle 's platform ; and ( b ) access , manage and obtain content from other platforms ( e.g. , twitter , facebook ) in accordance with these terms of service and any terms specified by those other platforms .",Low,unfair_tos,commercial,1798724,49,2,500,CA
Payment may be provided based on discretionary review of the claim details. in accordance with policy terms.,High,original_synthetic,auto,89390,48,3,500,NY
you agree not to sue us or bring arbitration in any other forum .,Low,unfair_tos,life,1160235,38,0,2500,PA
"if you violate these terms , or any of our other terms that apply to you , we may take action against you , up to and including permanently suspending your account in addition , you may be breaking the law , including violations of zynga 's intellectual property rights .",Medium,unfair_tos,commercial,5000000,63,1,1000,GA
"the rights to download and use the products are licensed to you and are not being sold to you , and you have no rights in them other than to use them in accordance with this license agreement and our other terms .",Low,unfair_tos,commercial,1877039,46,0,2500,TX
8.2.2 you agree to leave the accommodation no later than the checkout time that the host specifies in the listing or such other time as mutually agreed upon between you and the host .,Low,unfair_tos,auto,81335,32,0,1000,PA
Payment for losses may be issued after verification of the insured event and policy compliance. after internal evaluation.,Low,original_synthetic,commercial,1570705,55,0,1000,PA
Payment may be provided based on discretionary review of the claim details. based on available documentation.,High,original_synthetic,auto,90083,53,0,5000,PA
"if we owe you a payment , then you agree to timely and accurately provide us with any information we need to get that payment to you .",Low,unfair_tos,auto,62844,20,1,1000,GA
( i ) use this website or its contents for any commercial purpose ;,Low,unfair_tos,commercial,2596708,68,0,1000,GA
Payment for losses may be issued after verification of the insured event and policy compliance. subject to policy limitations.,Low,original_synthetic,auto,69136,60,0,1000,CA
The insurer will normally reimburse medical expenses that fall within the coverage limits.,Low,original_synthetic,life,549586,21,0,2500,FL
Coverage may apply in certain situations subject to evaluation by the insurer. if conditions are satisfied.,High,original_synthetic,commercial,4752514,69,2,500,PA
Payment may be provided based on discretionary review of the claim details. depending on circumstances.,High,original_synthetic,home,639862,32,0,2500,CA
Coverage may be extended depending on internal decisions made during claim assessment. if conditions are satisfied.,High,original_synthetic,auto,84654,29,2,5000,TX
fitbit is not liable for any loss or damages caused by your failure to maintain the confidentiality of your account credentials .,Low,unfair_tos,commercial,1614625,41,0,5000,GA
The insurer may compensate losses if deemed appropriate after internal consideration. after internal evaluation.,High,original_synthetic,auto,143018,58,0,500,GA
"we also grant you a license ( solely with respect to the masks contained with your implementation ) , with the right to sublicense , to download , use , reproduce , modify , create derivative works of , distribute , publicly display or publicly perform your implementation , including in connection with our services or any facebook companies or third-party services .",Low,unfair_tos,home,306840,48,0,500,GA
"for the avoidance of doubt , the choice of texas governing law shall not supersede any mandatory consumer protection legislation in such jurisdictions .",Low,unfair_tos,auto,53873,24,0,2500,IL
arbitration fees : the aaa rules will govern payment of all arbitration fees .,Low,unfair_tos,home,246136,32,0,1000,FL
Payment may be provided based on discretionary review of the claim details.,High,original_synthetic,home,657901,47,0,500,PA
Payment may be provided based on discretionary review of the claim details. in accordance with policy terms.,High,original_synthetic,commercial,5000000,66,2,5000,CA
"The insurer may normally reimburse medical expenses that fall within the coverage limits. in accordance with policy terms, contingent on documentation review.",Medium,hedged_synthetic,commercial,3028111,37,1,1000,OH
"The insurer may generally compensate valid claims unless exclusions apply under the contract. if conditions are satisfied, subject to applicable policy limitations and review.",Medium,hedged_synthetic,home,620025,21,0,500,NY
"The insurer may generally compensate valid claims unless exclusions apply under the contract. based on available documentation, subject to applicable policy limitations and review.",Medium,hedged_synthetic,auto,88613,49,2,1000,FL
Payment for losses may be issued after verification of the insured event and policy compliance.,Low,original_synthetic,home,302988,39,0,500,GA
Claims will be reviewed and paid when they comply with the conditions specified in this policy. based on available documentation.,Low,original_synthetic,home,212772,48,0,2500,GA
The insurer will compensate losses described in the policy when documentation confirms eligibility. depending on circumstances.,Low,original_synthetic,auto,43974,24,0,500,FL
"The insurer may normally reimburse medical expenses that fall within the coverage limits. subject to policy limitations, contingent on documentation review.",Medium,hedged_synthetic,commercial,3583301,40,2,2500,OH
The insurer shall generally compensate valid claims unless exclusions apply under the contract. depending on circumstances.,Low,original_synthetic,commercial,1394362,35,0,1000,FL
The insurer may determine eligibility for reimbursement after reviewing the circumstances. subject to policy limitations.,High,original_synthetic,home,729495,32,0,5000,NY
"Benefits may be payable for covered incidents provided the claim meets all policy requirements. subject to policy limitations, if conditions are deemed satisfactory by the insurer.",Medium,hedged_synthetic,home,544344,58,0,2500,PA
these license terms are an agreement between you and the application publisher .,Low,unfair_tos,home,161208,60,0,2500,TX
"if you have any questions or comments about these our terms of service as outlined above , you can contact us at :",Low,unfair_tos,home,195353,68,0,1000,TX
amazon attempts to be as accurate as possible .,Low,unfair_tos,home,421423,55,0,5000,PA
"as a buyer , you agree that ebay is not responsible for examining or warranting the listings or content provided by third parties through the services , and that you will not attempt to hold us liable for any inaccuracies .",Low,unfair_tos,auto,62601,50,2,2500,TX
"we may store and continue billing your payment method ( e.g. credit card ) even after it has expired , to avoid interruptions in your services and to use to pay other services you may buy .",Low,unfair_tos,commercial,3192736,61,0,2500,IL
"7.1.1 when creating a listing through the airbnb platform you must ( i ) provide complete and accurate information about your host service ( such as listing description , location , and calendar availability ) , ( ii ) disclose any deficiencies , restrictions ( such as house rules ) and requirements that apply ( such as any minimum age , proficiency or fitness requirements for an experience ) and ( iii ) provide any other pertinent information requested by airbnb .",Low,unfair_tos,life,454616,45,0,2500,IL
The insurer may provide reimbursement depending on internal policy assessment.,High,original_synthetic,auto,150000,24,2,2500,OH
the licensor remains the owner of the service at all times .,Low,unfair_tos,home,308484,37,0,500,PA
we do not give your content or information to advertisers without your consent .,Low,unfair_tos,life,959152,66,0,500,NY
"if you do not wish to pay the new prices , you may cancel the services prior to the change going into effect .",Low,unfair_tos,home,250968,72,0,500,OH
Benefits may be granted depending on circumstances and company judgment. after internal evaluation.,High,original_synthetic,auto,105037,58,2,2500,CA
The insurer shall compensate the insured subject to verification of eligibility criteria. if conditions are satisfied.,Low,original_synthetic,commercial,1214358,38,0,2500,OH
"skype provides a qik branded embeddable flash player feature which you may incorporate into your own personal , non-commercial website for use in accessing the materials on the qik branded skype website .",Low,unfair_tos,auto,76757,58,0,500,CA
"Payment for losses may be issued after verification of the insured event and policy compliance, at the insurer's reasonable discretion.",Medium,hedged_synthetic,auto,84369,73,1,1000,NY
hosts can pay co-hosts for one-time services and any other expenses using the resolution center .,Low,unfair_tos,auto,57293,68,0,5000,TX
we all agree that we can only bring a claim against each other on an individual basis .,Low,unfair_tos,home,293825,54,0,5000,OH
do these terms apply to evernote business users ?,Low,unfair_tos,life,556200,40,0,2500,TX
"by uploading photos/images onto our system ( for instance in addition to a review ) you certify , warrant and agree that you own the copyright to the photos/images and that you agree that booking.com may use the uploaded photos/images on its ( mobile ) website and app , and in ( online/offline ) promotional materials and publications and as booking.com at its discretion sees fit .",Low,unfair_tos,auto,101185,68,2,500,GA
make unauthorized copies of any content made available on or through the service ;,Low,unfair_tos,commercial,2481966,45,0,500,NY
"Payment for losses may be issued after verification of the insured event and policy compliance. depending on circumstances, depending on availability of supporting evidence.",Medium,hedged_synthetic,home,436303,35,0,1000,IL
"except as expressly set forth in these terms , the exercise by either party of any of its remedies under these terms will be without prejudice to its other remedies under these terms or otherwise .",Low,unfair_tos,home,337467,46,0,500,OH
The insurer may provide reimbursement depending on internal policy assessment. in accordance with policy terms.,High,original_synthetic,home,750000,65,2,1000,TX
"in no event will duolingo be responsible for the actions or inactions of any third party payment processor , including , but not limited to , system downtime or payment service outages .",Medium,unfair_tos,commercial,3085213,54,0,1000,TX
"The insurer may compensate the insured subject to verification of eligibility criteria. depending on circumstances, subject to review by the insurer.",Medium,hedged_synthetic,auto,104000,57,0,500,GA
Claims may be approved or declined based on the insurer's interpretation of the situation. subject to review.,High,original_synthetic,home,357688,52,0,5000,PA
ebay ca n't guarantee exact listing durations .,Low,unfair_tos,home,482830,69,1,1000,CA
"The insurer may normally reimburse medical expenses that fall within the coverage limits. subject to review, at the insurer's reasonable discretion.",Medium,hedged_synthetic,auto,92178,54,0,2500,PA
content licenses and intellectual property rights,Low,unfair_tos,home,723342,74,0,2500,CA
"the services change frequently , and their form and functionality may change without prior notice to you .",Medium,unfair_tos,auto,110220,66,0,500,OH
"in particular , while most of the content posted by the other athletes in our community is helpful , it is coming from strangers on the internet and should never trump good judgment or actual medical advice .",Low,unfair_tos,home,195158,60,0,2500,IL
"Benefits may be payable for covered incidents provided the claim meets all policy requirements, depending on availability of supporting evidence.",Medium,hedged_synthetic,home,236278,27,2,1000,OH
The insurer will compensate losses described in the policy when documentation confirms eligibility. after internal evaluation.,Low,original_synthetic,commercial,1247970,58,0,500,OH
Payment for losses may be issued after verification of the insured event and policy compliance. in accordance with policy terms.,Low,original_synthetic,commercial,1070184,19,0,500,OH
The insurer shall generally compensate valid claims unless exclusions apply under the contract.,Low,original_synthetic,life,528414,26,0,500,GA
"if any provision of these terms is found unenforceable , then that provision will be severed from these terms and not affect the validity and enforceability of any remaining provisions .",Low,unfair_tos,home,301518,26,2,500,GA
13.3 the software and skype websites may include hyperlinks to other third party websites .,Low,unfair_tos,auto,88043,69,0,1000,CA
your use of this service is at your own risk .,Low,unfair_tos,auto,139424,65,2,2500,PA
"when you choose a character name , create a guild , or otherwise create a label that can be seen by other players of world of warcraft , you must abide by the following guidelines as well as the rules of common decency .",Low,unfair_tos,commercial,1151412,52,0,5000,FL
The insurer will compensate losses described in the policy when documentation confirms eligibility. after internal evaluation.,Low,original_synthetic,auto,87900,41,0,1000,GA
The insurer may provide reimbursement depending on internal policy assessment.,High,original_synthetic,life,1020772,58,0,5000,OH
"if you are a vimeo member who has been granted access to a pro or business account , you must comply with the terms of this agreement in accessing that account .",Low,unfair_tos,home,141236,30,0,2500,IL
• encourage or enable any other individual to do any of the foregoing .,Low,unfair_tos,auto,70087,23,0,2500,PA
Coverage may apply in certain situations subject to evaluation by the insurer. if conditions are satisfied.,High,original_synthetic,auto,150000,40,2,1000,GA
The insurer shall compensate the insured subject to verification of eligibility criteria. based on available documentation.,Low,original_synthetic,home,342464,27,0,1000,NY
"unless otherwise agreed by uber in a separate written agreement with you , the services are made available solely for your personal , noncommercial use .",Low,unfair_tos,auto,107260,32,0,1000,CA
The insurer may determine eligibility for reimbursement after reviewing the circumstances. based on available documentation.,High,original_synthetic,life,954890,56,0,2500,CA
"you agree that instagram is not responsible for , and does not endorse , content posted within the service .",Low,unfair_tos,commercial,1575367,62,0,5000,FL
Claims will be reviewed and paid when they comply with the conditions specified in this policy. subject to policy limitations.,Low,original_synthetic,home,239160,46,0,500,CA
Coverage may apply in certain situations subject to evaluation by the insurer. after internal evaluation.,High,original_synthetic,home,697915,69,5,2500,NY
Coverage may be extended depending on internal decisions made during claim assessment.,High,original_synthetic,commercial,4862647,51,2,2500,FL
the fourth paragraph of section 8 shall apply to the refund of license fees .,Low,unfair_tos,auto,25000,26,1,5000,PA
"you release us , our subsidiaries , affiliates , and our and their directors , officers , employees , partners , and agents ( together , the `` whatsapp parties '' ) from any claim , complaint , cause of action , controversy , or dispute ( together , `` claim '' ) and damages , known and unknown , relating to , arising out of , or in any way connected with any such claim you have against any third parties .",Low,unfair_tos,auto,54228,65,1,2500,TX
Payment may be provided based on discretionary review of the claim details. subject to review.,High,original_synthetic,auto,150000,49,1,5000,GA
"The insurer may compensate losses described in the policy when documentation confirms eligibility, subject to applicable policy limitations and review.",Medium,hedged_synthetic,home,750000,40,2,2500,CA
Coverage may be extended depending on internal decisions made during claim assessment.,High,original_synthetic,commercial,3165132,30,1,5000,IL
the app provider has no obligation to provide any maintenance and support services with respect to the applications ;,Low,unfair_tos,life,427623,34,0,2500,CA
"when you register and join the linkedin service , you become a member .",Low,unfair_tos,life,1280199,46,0,2500,NY
"The insurer may generally compensate valid claims unless exclusions apply under the contract. based on available documentation, contingent on documentation review.",Medium,hedged_synthetic,home,532842,73,0,500,NY
The insurer shall generally compensate valid claims unless exclusions apply under the contract. depending on circumstances.,Low,original_synthetic,home,400176,62,0,2500,NY
Benefits may be payable for covered incidents provided the claim meets all policy requirements. after internal evaluation.,Low,original_synthetic,home,250416,33,0,1000,FL
character migrations can only occur when the account that you utilize to play world of warcraft is not in use .,Low,unfair_tos,auto,46937,19,1,500,GA
microsoft health and the microsoft band are not medical devices and are intended for fitness and wellness purposes only .,Low,unfair_tos,auto,82501,33,2,5000,GA
Claims may be approved or declined based on the insurer's interpretation of the situation. after internal evaluation.,High,original_synthetic,commercial,4309032,34,1,5000,TX
"• sell , sponsor , or otherwise monetize any feature of the services , without academia.edu 's consent ;",Low,unfair_tos,home,356306,22,1,2500,IL
limitation of liability ; sole and exclusive remedy ; indemnification,Low,unfair_tos,commercial,2698061,37,0,500,FL
the foregoing disclaimer of certain damages and limitation of liability will apply to the maximum extent permitted by applicable law .,Medium,unfair_tos,commercial,1526825,40,2,1000,FL
"if you provide any information that is untrue , inaccurate , not current or incomplete , or yahoo has reasonable grounds to suspect that such information is untrue , inaccurate , not current or incomplete , yahoo has the right to suspend or terminate your account and refuse any and all current or future use of the yahoo services ( or any portion thereof ) .",Low,unfair_tos,commercial,2520804,51,0,500,OH
( f ) use the products in a way that violates this license agreement or the other terms .,Low,unfair_tos,home,449748,65,0,1000,NY
Claims may be approved or declined based on the insurer's interpretation of the situation. based on available documentation.,High,original_synthetic,auto,145618,25,3,5000,OH
you bear the entire risk of using the services .,Low,unfair_tos,commercial,1277245,46,1,500,GA
"you own all of the content and information you post on facebook , and you can control how it is shared through your privacy and application settings .",Low,unfair_tos,commercial,3558879,53,2,2500,IL
The insurer may determine eligibility for reimbursement after reviewing the circumstances. based on available documentation.,High,original_synthetic,commercial,2372932,38,4,2500,FL
The insurer may compensate losses if deemed appropriate after internal consideration. subject to policy limitations.,High,original_synthetic,commercial,2545147,66,1,500,GA
you will not create more than one account for yourself .,Low,unfair_tos,auto,52901,63,1,2500,CA
"The insurer may compensate the insured for covered losses provided all policy conditions are satisfied, if conditions are deemed satisfactory by the insurer.",Medium,hedged_synthetic,commercial,3349315,72,1,2500,TX
"accordingly , by agreeing to this tos , you acknowledge that use of the service results in interstate data transmissions .",Low,unfair_tos,home,477644,73,0,5000,GA
The insurer may determine eligibility for reimbursement after reviewing the circumstances. in accordance with policy terms.,High,original_synthetic,home,750000,74,0,2500,CA
these features do not require that you share your credentials with any other person .,Low,unfair_tos,auto,57782,67,2,5000,IL
• what we use that information for ; and,Low,unfair_tos,home,221824,33,0,500,IL
"we are passionate about creating innovative products and services to empower athletes everywhere , and we are thrilled to have you on our team .",Low,unfair_tos,auto,99084,36,2,500,PA
The insurer shall generally compensate valid claims unless exclusions apply under the contract. subject to policy limitations.,Low,original_synthetic,home,382640,29,0,500,FL
